iter	RMSE
290	4.450163784
291	4.442544688
292	4.440385972
293	4.437085112
294	4.43351983
295	4.429665157
296	4.429385964
297	4.422798022
298	4.417989496
299	4.415662708
300	4.411977395
301	4.410863783
302	4.407746784
303	4.404367223
304	4.401895861
305	4.400000802
306	4.396009172
307	4.393515431
308	4.390805488
309	4.386541375
310	4.386194214
311	4.382488933
312	4.377922306
313	4.375804769
314	4.372308651
315	4.368221683
316	4.365089934
317	4.363414139
318	4.359261589
319	4.356694394
320	4.354135097
321	4.346766141
322	4.343466631
323	4.338383146
324	4.335590044
325	4.333578864
326	4.33179683
327	4.326381656
328	4.32095847
329	4.318052861
330	4.313532881
331	4.310295121
332	4.308018646
333	4.301037513
334	4.299174118
335	4.293458261
336	4.288944165
337	4.286853168
338	4.283921486
339	4.278574118
340	4.277558761
341	4.274036901
342	4.269022132
343	4.26500632
344	4.260290156
345	4.257059737
346	4.252021991
347	4.249981803
348	4.246131621
349	4.244355351
350	4.238397576
351	4.233774317
352	4.230892198
353	4.228771321
354	4.22561042
355	4.221433078
356	4.218663422
357	4.213695083
358	4.211689902
359	4.210353726
360	4.210049501
361	4.208120423
362	4.206071198
363	4.203064927
364	4.200637943
365	4.195592484
366	4.190769661
367	4.189311442
368	4.185846669
369	4.181314168
370	4.177011297
371	4.172583667
372	4.167248967
373	4.165271037
374	4.162422566
375	4.159888201
376	4.158453754
377	4.156529932
378	4.153351991
379	4.147790881
380	4.144745051
381	4.140274777
382	4.13670392
383	4.13351256
384	4.130648031
385	4.126965823
386	4.124096777
387	4.11932173
388	4.117338121
389	4.11432164
390	4.111902747
391	4.11163935
392	4.109045945
393	4.107243451
394	4.105927141
395	4.102915342
396	4.100477992
397	4.096252166
398	4.094043614
399	4.092921856
400	4.088388645
401	4.087763586
402	4.084724041
403	4.083721695
404	4.082661154
405	4.078215651
406	4.073234115
407	4.071263521
408	4.069273571
409	4.068676115
410	4.067214125
411	4.065512725
412	4.064307029
413	4.062466227
414	4.060683231
415	4.054774751
416	4.051408634
417	4.046323974
418	4.043809898
419	4.042244837
420	4.036721261
421	4.032174675
422	4.032013535
423	4.029722074
424	4.026530684
425	4.021569611
426	4.019824385
427	4.018512357
428	4.014493029
429	4.012310214
430	4.009543984
431	4.005820968
432	4.004187848
433	4.003396047
434	4.000198293
435	3.997444051
436	3.993282931
437	3.989339379
438	3.987260756
439	3.983239435
440	3.981656
441	3.977628774
442	3.976452145
443	3.97599534
444	3.972923409
445	3.971356745
446	3.966731976
447	3.964826394
448	3.960240417
449	3.955647656
450	3.95373578
451	3.95130861
452	3.948148528
453	3.942864639
454	3.940611104
455	3.940163615
456	3.936727925
457	3.932299724
458	3.928726862
459	3.923768441
460	3.921311831
461	3.920645167
462	3.917573129
463	3.916989368
464	3.915928461
465	3.915447609
466	3.911299598
467	3.90971323
468	3.907299575
469	3.903973548
470	3.898970592
471	3.898817661
472	3.895489703
473	3.893678991
474	3.88958815
475	3.888762842
476	3.885387243
477	3.884727594
478	3.884232938
479	3.880779574
480	3.878515591
481	3.877298385
482	3.875619763
483	3.872614638
484	3.86982437
485	3.867525302
486	3.865004382
487	3.864582388
488	3.862224498
489	3.860799971
490	3.857440818
491	3.853447098
492	3.849856042
493	3.845154986
494	3.842336898
495	3.840600293
496	3.83660048
497	3.833320042
498	3.832683814
499	3.826871599
500	3.826328639
501	3.824044917
502	3.823554503
503	3.820175151
504	3.816276735
505	3.812391931
506	3.810189051
507	3.807280902
508	3.803200426
509	3.799073
510	3.796497121
511	3.793260332
512	3.789264058
513	3.788726401
514	3.787756055
515	3.783297574
516	3.782881187
517	3.781833492
518	3.780149307
519	3.778984656
520	3.778504365
521	3.774430213
522	3.769682119
523	3.765378116
524	3.763706823
525	3.763534373
526	3.760710235
527	3.756745334
528	3.751441103
529	3.748097443
530	3.744415687
531	3.742841184
532	3.742017221
533	3.739938349
534	3.735801471
535	3.733513346
536	3.729769034
537	3.728728291
538	3.725636761
539	3.722964552
540	3.718800764
541	3.71721396
542	3.712881682
543	3.709946975
544	3.706692355
545	3.703303407
546	3.703035043
547	3.701770206
548	3.699053894
549	3.69897047
550	3.694487118
551	3.691033496
552	3.689586199
553	3.687368812
554	3.684728851
555	3.680558603
556	3.678952071
557	3.675009943
558	3.67113659
559	3.669475956
560	3.666921151
561	3.664250395
562	3.66020949
563	3.658439537
564	3.655801565
565	3.655605693
566	3.652920331
567	3.650699079
568	3.647932007
569	3.646902758
570	3.644062834
571	3.640580298
572	3.639196304
573	3.636459383
574	3.633627413
575	3.6306967
576	3.6280898
577	3.624804136
578	3.623254046
579	3.623027846
580	3.619948633
581	3.618633434
582	3.613801763
583	3.609994973
584	3.608260251
585	3.605814375
586	3.605241367
587	3.604655941
588	3.603459
589	3.600052211
590	3.599091474
591	3.596400284
592	3.593132112
593	3.59068979
594	3.587526429
595	3.584555946
596	3.581841244
597	3.578620802
598	3.575536101
599	3.57241109
600	3.56941425
601	3.568000131
602	3.56704006
603	3.56481162
604	3.563864004
605	3.561688793
606	3.558507367
607	3.55607844
608	3.555218786
609	3.551949532
610	3.549495887
611	3.548925043
612	3.548370193
613	3.546999718
614	3.543578601
615	3.540767264
616	3.540147148
617	3.538889519
618	3.536435126
619	3.536093076
620	3.531860334
621	3.530999308
622	3.530687748
623	3.528562724
624	3.526039065
625	3.524476636
626	3.522503971
627	3.520584928
628	3.516226502
629	3.514154186
630	3.513756319
631	3.510046663
632	3.508832093
633	3.505816477
634	3.502659259
635	3.501843807
636	3.501039261
637	3.497798982
638	3.496045856
639	3.492938996
640	3.492864075
641	3.489405023
642	3.488575906
643	3.488539626
644	3.487148099
645	3.484134735
646	3.484062689
647	3.483710647
648	3.481454019
649	3.478689718
650	3.476161349
651	3.473001879
652	3.470075599
653	3.467461318
654	3.46651828
655	3.46479765
656	3.462425781
657	3.459660828
658	3.456234333
659	3.452505012
660	3.449750199
661	3.448420389
662	3.446996718
663	3.445083289
664	3.444139892
665	3.442144912
666	3.439726018
667	3.43935443
668	3.43725378
669	3.434195386
670	3.431259929
671	3.429968288
672	3.426978005
673	3.423930549
674	3.42315536
675	3.42147666
676	3.420212773
677	3.41928918
678	3.417117764
679	3.417045854
680	3.413679272
681	3.410840379
682	3.407832629
683	3.406655864
684	3.405194148
685	3.402937871
686	3.401506295
687	3.397849489
688	3.395234301
689	3.39165975
690	3.390659833
691	3.390457275
692	3.390134698
693	3.386795186
694	3.384362801
695	3.382428671
696	3.380272638
697	3.376979132
698	3.374986946
699	3.373961659
700	3.373411668
701	3.370759746
702	3.369487324
703	3.36892546
704	3.366188241
705	3.365711519
706	3.362638812
707	3.361975604
708	3.361113955
709	3.359456291
710	3.3591172
711	3.357267453
712	3.354717051
713	3.35408113
714	3.352394988
715	3.347649497
716	3.34497637
717	3.342406667
718	3.341177351
719	3.339415494
720	3.338867227
721	3.336552423
722	3.333762189
723	3.333413023
724	3.330348919
725	3.328545478
726	3.326377073
727	3.326260543
728	3.322495764
729	3.320459265
730	3.319825383
731	3.318234105
732	3.316932305
733	3.314351194
734	3.311948248
735	3.30869735
736	3.30600447
737	3.303014714
738	3.301041062
739	3.298269531
740	3.296949744
741	3.294729623
742	3.292137674
743	3.289708534
744	3.289403053
745	3.288568789
746	3.286741757
747	3.285063717
748	3.283633638
749	3.28325919
750	3.281358946
751	3.280399724
752	3.275318663
753	3.274727404
754	3.271159905
755	3.268631387
756	3.267627641
757	3.264909847
758	3.262295248
759	3.261258023
760	3.259171722
761	3.258217533
762	3.256232367
763	3.254646337
764	3.254577966
765	3.253363661
766	3.252244083
767	3.249992576
768	3.248975394
769	3.248786408
770	3.247405119
771	3.246477377
772	3.24437413
773	3.242784153
774	3.242508849
775	3.241091719
776	3.2407066
777	3.238988136
778	3.236331762
779	3.235223362
780	3.234464721
781	3.231798403
782	3.228913497
783	3.228794484
784	3.225921176
785	3.223798076
786	3.222711498
787	3.22152963
788	3.219338303
789	3.218318718
790	3.21661559
791	3.216001891
792	3.212401331
793	3.211693135
794	3.209613355
795	3.205221717
796	3.203137409
797	3.201095646
798	3.200280217
799	3.197993768
800	3.196880292
801	3.194574305
802	3.193119223
803	3.191249932
804	3.188921551
805	3.188095427
806	3.186011303
807	3.184764271
808	3.182999081
809	3.180903489
810	3.180600107
811	3.178567501
812	3.176739239
813	3.175454142
814	3.17313169
815	3.172343402
816	3.170414094
817	3.169030859
818	3.168107101
819	3.166291747
820	3.164398845
821	3.163116939
822	3.161905783
823	3.158826243
824	3.157355738
825	3.15543473
826	3.154570627
827	3.151793426
828	3.151271949
829	3.149033658
830	3.148453699
831	3.147886749
832	3.14606526
833	3.143702619
834	3.141892115
835	3.140036648
836	3.139397943
837	3.138804536
838	3.137068131
839	3.135899126
840	3.133116012
841	3.130836123
842	3.130241503
843	3.129405645
844	3.12893476
845	3.128496069
846	3.127696078
847	3.12553849
848	3.124548524
849	3.122464429
850	3.11973666
851	3.119188949
852	3.11695546
853	3.114984385
854	3.114229264
855	3.111963388
856	3.10934573
857	3.108617809
858	3.10480832
859	3.102437591
860	3.101877963
861	3.100166888
862	3.098091573
863	3.097614102
864	3.095246383
865	3.094810163
866	3.09376533
867	3.091298438
868	3.090968959
869	3.090481293
870	3.088402125
871	3.087428735
872	3.084744682
873	3.084335221
874	3.08310271
875	3.08094933
876	3.080704619
877	3.078758742
878	3.076917917
879	3.075421162
880	3.075001167
881	3.07261697
882	3.070952036
883	3.068765362
884	3.068320875
885	3.066498975
886	3.065654323
887	3.063534805
888	3.061054413
889	3.058780808
890	3.057160535
891	3.055443163
892	3.054933505
893	3.053754329
894	3.053579807
895	3.052769856
896	3.05078698
897	3.04950257
898	3.048234317
899	3.047274842
900	3.045758962
901	3.04332649
902	3.042864116
903	3.041189339
904	3.040322193
905	3.038587257
906	3.037648803
907	3.036809616
908	3.034759188
909	3.032235122
910	3.03100802
911	3.028304683
912	3.027358338
913	3.024693046
914	3.022836954
915	3.020978172
916	3.019382302
917	3.018916176
918	3.016487868
919	3.01389371
920	3.012585624
921	3.011998905
922	3.010809811
923	3.007825641
924	3.005262866
925	3.004324569
926	3.002330613
927	3.00154468
928	3.000751861
929	2.998605508
930	2.997913457
931	2.997345122
932	2.995548953
933	2.993967866
934	2.993279951
935	2.992886796
936	2.990641256
937	2.988375801
938	2.986620236
939	2.985308739
940	2.983722961
941	2.983519263
942	2.982672053
943	2.980162275
944	2.978406231
945	2.977608239
946	2.975822708
947	2.974077098
948	2.973808314
949	2.973070894
950	2.972693416
951	2.972459701
952	2.97190167
953	2.971720096
954	2.970824178
955	2.969100241
956	2.96794214
957	2.965895665
958	2.96386043
959	2.96364865
960	2.961684786
961	2.958067086
962	2.957140362
963	2.955032645
964	2.953323806
965	2.95161902
966	2.949440296
967	2.948035725
968	2.946962857
969	2.945874799
970	2.943777839
971	2.942670596
972	2.940762578
973	2.940238446
974	2.937850211
975	2.936273354
976	2.935414971
977	2.935030827
978	2.934100558
979	2.932716505
980	2.93208944
981	2.929727007
982	2.929421085
983	2.927426833
984	2.926532923
985	2.924564651
986	2.923911571
987	2.923344824
988	2.920966294
989	2.920240943
990	2.91888298
991	2.917713363
992	2.917401739
993	2.917068642
994	2.91512437
995	2.914300095
996	2.913731439
997	2.913310741
998	2.912254282
999	2.911519564
